Code depot;Article;Designation;Rangement;Stock reel;Stock mini;Mini à commander;Maxi à commander;Cde cli en cours;Cde four en cours;Prix unitaire de vente;Prix unitaire d'achat;Numeros de serie;Famille article;Autre designation;Fournisseurs;Code fournisseur;Référence fournisseur;Code famille fournisseur
000;A14044;LED Kingbright, Rouge, 640 nm, 8 cd, 20°, 5 mm (T-1 3/4);;0;0;0;0;0;0;0;0,26;;OPTO-ELECT;;A14044*F80*;F80;8486471;BCA
000;A14045;CAPUCHON MOLETTE REGLAGE TERMINAL MULLER;13T23;3;2;10;10;0;0;5,09;2,8;;ACCESSOIR;;A14045*A5*;A5;33683020;CNI
000;A14046;CI LT1107IS8#PBF;12o11;5;1;3;5;0;0;0;6,41;;ACTIF;;A14046*F40*;F40;1663353;BCA
000;A14047;CI CNY17G-3;12X03;11;1;3;5;0;0;0;0,23;;ACTIF;;;;;
000;A14048;CONVERTISSEUR 12-24VDC 10A 240W VOLTCRAFT - 513076;;0;0;0;0;0;0;170;79,99;;CONVERTER;;A14048*F30*;F30;513076-32;BCA
000;A14049;CONN MALE 2PTS 80A  16mm²  80/150 - EAXTRON REALS FRANCE;20D03;11;1;1;0;0;0;48,8;10,5;;CONNECTEUR;CP : A16119;A14049*F430*;F430;REA A1503;BCA
000;A1405;POIGNEE SAUER DANFOSS C P/PVRE - 155B4897;;0;0;1;2;0;0;670;309,01;;ELECTROMEC;PRIX D ACHAT HYDEQUIP;A1405*F112*;F112;155B4897;BCA
000;A14050;CARTE AFFICHEUR TS300;;0;0;0;0;0;0;0;70;;CARTELEC;;A14050*E29*;E29;;CNI
000;A14051;LOT DE 2 PINCES ROUGE ET NOIRE 50A  ;1A04;5;0;0;1;0;0;6,33;8;;MECANIQUE;;A14051*F30*;F30;841378;BCA
000;A14052;BANDE GOMME F916970160040;;0;0;0;0;0;0;0;1,01;;CONNECTEUR;VOIR A15410;A14052*F415*;F415;;BCA
000;A14053;RELAIS 2RT 12V NA-12W-K;19A12;10;0;0;0;0;0;0;3,43;;RELAIS;;A14053*F80*;F80;7903369;BCA
000;A14054;RELAIS 1RT 12V RP418012;;0;0;0;0;0;0;0;2,94;;RELAIS;;A14054*F80*;F80;2563452;BCA
000;A14055;CI ATF22V10CQZ-20PU;12T35;4;0;0;0;0;0;0;3,48;;ACTIF;;;;;
000;A14056;MICRORUPTEUR  A LEVIER  COURT DROIT  OTTO - B2-500113  ;16E28;59;20;50;100;0;0;56;16,4;;COMMUT;;A14056*E46*;E46;999-B2-500113;BCA
000;A14057;CARTE PUPITRE CLAVIER KEYB CBN5T;;0;0;0;0;0;0;0;85;;CLAVIER;;A14057*E19*;E19;;CNI
000;A14058;CI A3935KLQTR ;12D23;8;0;0;0;0;0;0;5,65;;ACTIF;;;;;
000;A14059;REGULATEUR DE TENSION LDO TEXAS INS. LP2982AIM5-3.3/NOPB;12T27;4;1;1;2;0;0;0;0,3;;ACTIF;"MARQUAGE CMS ""L19A""";A14059*F80*;F80;8122397;BCA
000;A1406;MANIPUL. JOYSTICK SAUER DANFOSS - 162B5000;6B08;0;0;1;5;0;1;716;352,42;;MODULE;;A1406*F428*;F428;162B5000;BCA
000;A14060;AMPLI CASQUE AUDIO CLASSE AB-MONO MSOP8 TEXAS INS. TPA0211DGNG4;12V36;4;0;0;0;0;0;0;1,54;;ACTIF;AEG;A14060*F80*;F80;6606216;BCA
000;A14061;CONVERTISSEUR NUM-ANA AUDIO 24 BITS PCM1780DBQ SSOP16 TEXAS INS.;12X04;4;0;0;0;0;0;0;1,75;;ACTIF;;A14061*F80*;F80;8143717;BCA
